Recipe_ID,Recipe_Name,Title,Video_URL,Views
1276,easy-peasy-risotto-chilli-mint-crumbs,JD SEASONINGS PEA & MINT RISOTTO,https://www.youtube.com/watch?v=eZGM007-4o4&pp=ygUxaG93IHRvIG1ha2UgZWFzeSBwZWFzeSByaXNvdHRvIGNoaWxsaSBtaW50IGNydW1icw%3D%3D,2.4K views
1277,toddler-recipe-microwave-courgette-and-pea-risotto-prawns,Courgette & Pea Risotto,https://www.youtube.com/watch?v=MpgDxfjA2iA&pp=ygVFaG93IHRvIG1ha2UgdG9kZGxlciByZWNpcGUgbWljcm93YXZlIGNvdXJnZXR0ZSBhbmQgcGVhIHJpc290dG8gcHJhd25z,265 views
1277,toddler-recipe-microwave-courgette-and-pea-risotto-prawns,Shrimp risotto | Easy meal | Toddler favorite | Home made Food Recipe | How to Cook #healthyfood,https://www.youtube.com/shorts/ilfTEsqsg8Y,3.9K views
1277,toddler-recipe-microwave-courgette-and-pea-risotto-prawns,(11) Prawn and Pea Risotto,https://www.youtube.com/watch?v=QKTYO9Snlgs&pp=ygVFaG93IHRvIG1ha2UgdG9kZGxlciByZWNpcGUgbWljcm93YXZlIGNvdXJnZXR0ZSBhbmQgcGVhIHJpc290dG8gcHJhd25z,1.2K views
1278,roasted-squash-pancetta-chestnut-risotto,Roasted Pumpkin & Pancetta Risotto Recipe,https://www.youtube.com/watch?v=yCpDRYseS9g&pp=ygU0aG93IHRvIG1ha2Ugcm9hc3RlZCBzcXVhc2ggcGFuY2V0dGEgY2hlc3RudXQgcmlzb3R0bw%3D%3D,163 views
1278,roasted-squash-pancetta-chestnut-risotto,Making Pumpkin Risotto With Gordon Ramsay | The F Word,https://www.youtube.com/watch?v=ETy1zN7F3HM&pp=ygU0aG93IHRvIG1ha2Ugcm9hc3RlZCBzcXVhc2ggcGFuY2V0dGEgY2hlc3RudXQgcmlzb3R0bw%3D%3D,675K views
1278,roasted-squash-pancetta-chestnut-risotto,Chestnut Risotto for the Holidays,https://www.youtube.com/watch?v=Lk30jsV3qVg&pp=ygU0aG93IHRvIG1ha2Ugcm9hc3RlZCBzcXVhc2ggcGFuY2V0dGEgY2hlc3RudXQgcmlzb3R0bw%3D%3D,468 views
1279,barley-broccoli-risotto-lemon-basil,"Chicken, Broccolini, Lemon & Basil Risotto",https://www.youtube.com/watch?v=QgHlpxDUERU&pp=ygUvaG93IHRvIG1ha2UgYmFybGV5IGJyb2Njb2xpIHJpc290dG8gbGVtb24gYmFzaWw%3D,156 views
1279,barley-broccoli-risotto-lemon-basil,Lemon Basil Risotto,https://www.youtube.com/watch?v=wfvWB4DjkDY&pp=ygUvaG93IHRvIG1ha2UgYmFybGV5IGJyb2Njb2xpIHJpc290dG8gbGVtb24gYmFzaWw%3D,3.2K views
1279,barley-broccoli-risotto-lemon-basil,"BROCCOLI RISOTTO | Lemon, Parmesan, Leeks and Garlic",https://www.youtube.com/watch?v=I9dcfz48b3k&pp=ygUvaG93IHRvIG1ha2UgYmFybGV5IGJyb2Njb2xpIHJpc290dG8gbGVtb24gYmFzaWw%3D,708 views
1280,chicken-pearl-barley-risotto,Chicken & Pearl Barley Risotto,https://www.youtube.com/watch?v=Y5OdTHQVJgY&pp=ygUoaG93IHRvIG1ha2UgY2hpY2tlbiBwZWFybCBiYXJsZXkgcmlzb3R0bw%3D%3D,811 views
1280,chicken-pearl-barley-risotto,How to Make Barley Risotto | It's Only Food w/Chef John Politte,https://www.youtube.com/watch?v=b-sJh9KnQYk&pp=ygUoaG93IHRvIG1ha2UgY2hpY2tlbiBwZWFybCBiYXJsZXkgcmlzb3R0bw%3D%3D,1.2K views
1280,chicken-pearl-barley-risotto,Chicken Barley Risotto | Sanjeev Kapoor Khazana,https://www.youtube.com/watch?v=Elj2fsF8S7I&pp=ygUoaG93IHRvIG1ha2UgY2hpY2tlbiBwZWFybCBiYXJsZXkgcmlzb3R0bw%3D%3D,7K views
1281,prawn-fennel-rocket-risotto,Healthy Prawn fennel and rocket risotto,https://www.youtube.com/watch?v=SEfh10cMiBk&pp=ygUnaG93IHRvIG1ha2UgcHJhd24gZmVubmVsIHJvY2tldCByaXNvdHRv,59 views
1281,prawn-fennel-rocket-risotto,How to make a PRAWN RISOTTO,https://www.youtube.com/watch?v=NrL8L9A1c2k&pp=ygUnaG93IHRvIG1ha2UgcHJhd24gZmVubmVsIHJvY2tldCByaXNvdHRv,103K views
1281,prawn-fennel-rocket-risotto,Shrimp Fennel Risotto movie,https://www.youtube.com/watch?v=aPp0r2X3qvM&pp=ygUnaG93IHRvIG1ha2UgcHJhd24gZmVubmVsIHJvY2tldCByaXNvdHRv,247 views
1282,pearl-barley-parsnip-sage-risotto,Barley risotto with sage & parsnip,https://www.youtube.com/watch?v=kkSkzL-mYv0&pp=ygUtaG93IHRvIG1ha2UgcGVhcmwgYmFybGV5IHBhcnNuaXAgc2FnZSByaXNvdHRv,64 views
1282,pearl-barley-parsnip-sage-risotto,How to Cook Pearl Barley Risotto Style,https://www.youtube.com/watch?v=jdpM_-mrNY4&pp=ygUtaG93IHRvIG1ha2UgcGVhcmwgYmFybGV5IHBhcnNuaXAgc2FnZSByaXNvdHRv,713 views
1282,pearl-barley-parsnip-sage-risotto,How to make a Pearl Barley Risotto with butternut squash and kale,https://www.youtube.com/watch?v=cMCikBBStug&pp=ygUtaG93IHRvIG1ha2UgcGVhcmwgYmFybGV5IHBhcnNuaXAgc2FnZSByaXNvdHRv,617 views
1283,creamy-tomato-risotto,Creamy Tomato Risotto with Crispy Garlic Crumbs,https://www.youtube.com/watch?v=CqULB7Hiw4I&pp=ygUhaG93IHRvIG1ha2UgY3JlYW15IHRvbWF0byByaXNvdHRv,332K views
1283,creamy-tomato-risotto,35 Minute TOMATO RISOTTO. How To Make CREAMY TOMATO RISOTTO. Recipe by Always Yummy!,https://www.youtube.com/watch?v=jg60_asSeDY&pp=ygUhaG93IHRvIG1ha2UgY3JlYW15IHRvbWF0byByaXNvdHRv,2.4K views
1283,creamy-tomato-risotto,Creamy Tomato Risotto,https://www.youtube.com/watch?v=tvHg9p5JqK0&pp=ygUhaG93IHRvIG1ha2UgY3JlYW15IHRvbWF0byByaXNvdHRv,22K views
1284,pearl-barley-bacon-leek-casserole,Pearl Barley and Chorizo Soup | Jamie Oliver,https://www.youtube.com/watch?v=F4TZ-XuGYsc&pp=ygUtaG93IHRvIG1ha2UgcGVhcmwgYmFybGV5IGJhY29uIGxlZWsgY2Fzc2Vyb2xl,66K views
1284,pearl-barley-bacon-leek-casserole,Smoked bacon with pearl barley and sauerkraut - Silent Cooking with Patrick Müller (with recipe),https://www.youtube.com/watch?v=uPC5sMAThec&t=80s&pp=ygUtaG93IHRvIG1ha2UgcGVhcmwgYmFybGV5IGJhY29uIGxlZWsgY2Fzc2Vyb2xl,646 views
1284,pearl-barley-bacon-leek-casserole,Pearl Barley Soup with Leek and Potatoes (VEGAN),https://www.youtube.com/watch?v=Opl0my-mo44&pp=ygUtaG93IHRvIG1ha2UgcGVhcmwgYmFybGV5IGJhY29uIGxlZWsgY2Fzc2Vyb2xl,1.8K views
1285,creamy-barley-squash-risotto,"Barley, Kale and Butternut Squash Risotto Recipe - Lidia’s Kitchen Series",https://www.youtube.com/watch?v=wcknbNPgny0&pp=ygUoaG93IHRvIG1ha2UgY3JlYW15IGJhcmxleSBzcXVhc2ggcmlzb3R0bw%3D%3D,364K views
1285,creamy-barley-squash-risotto,Creamy Butternut Squash and Sage Risotto (RESTAURANT-STYLE),https://www.youtube.com/watch?v=h0AtRNjRKYg&pp=ygUoaG93IHRvIG1ha2UgY3JlYW15IGJhcmxleSBzcXVhc2ggcmlzb3R0bw%3D%3D,16K views
1285,creamy-barley-squash-risotto,Creamy Barley Risotto,https://www.youtube.com/watch?v=9lSy6aKLMec&pp=ygUoaG93IHRvIG1ha2UgY3JlYW15IGJhcmxleSBzcXVhc2ggcmlzb3R0bw%3D%3D,590 views
1287,barley-chicken-mushroom-risotto,How To Make Chicken & Mushroom Risotto the right way | Easy recipe :),https://www.youtube.com/watch?v=PMEEnnuXNr8&pp=ygUraG93IHRvIG1ha2UgYmFybGV5IGNoaWNrZW4gbXVzaHJvb20gcmlzb3R0bw%3D%3D,14K views
1287,barley-chicken-mushroom-risotto,Mushroom Barley Risotto | Creamy Healthy Recipe | Home Made,https://www.youtube.com/watch?v=E105UXIArrU&pp=ygUraG93IHRvIG1ha2UgYmFybGV5IGNoaWNrZW4gbXVzaHJvb20gcmlzb3R0bw%3D%3D,23K views
1287,barley-chicken-mushroom-risotto,Instant Pot Barley Risotto with Mushrooms,https://www.youtube.com/watch?v=Yw3JyZcKNsE&pp=ygUraG93IHRvIG1ha2UgYmFybGV5IGNoaWNrZW4gbXVzaHJvb20gcmlzb3R0bw%3D%3D,5.2K views
1289,microwave-risotto-primavera,Microwave Risotto Primavera,https://www.youtube.com/watch?v=9npgfAm5XyY&pp=ygUnaG93IHRvIG1ha2UgbWljcm93YXZlIHJpc290dG8gcHJpbWF2ZXJh,48 views
1289,microwave-risotto-primavera,Risotto Primavera | Jamie Oliver,https://www.youtube.com/watch?v=p1vDdPqvF5g&pp=ygUnaG93IHRvIG1ha2UgbWljcm93YXZlIHJpc290dG8gcHJpbWF2ZXJh,131K views
1289,microwave-risotto-primavera,Testing Out a Microwave Risotto Recipe | Katie Pix,https://www.youtube.com/watch?v=ke5mD0E4js8&pp=ygUnaG93IHRvIG1ha2UgbWljcm93YXZlIHJpc290dG8gcHJpbWF2ZXJh,3.6K views
1290,mushroom-thyme-risotto,Love & Best Dishes: Mushroom-Thyme Risotto Recipe,https://www.youtube.com/watch?v=92NgHQrrJe4&pp=ygUiaG93IHRvIG1ha2UgbXVzaHJvb20gdGh5bWUgcmlzb3R0bw%3D%3D,24K views
1290,mushroom-thyme-risotto,How to Make Mushroom Risotto | Wine & Thyme,https://www.youtube.com/watch?v=t66rjoq9LYI&pp=ygUiaG93IHRvIG1ha2UgbXVzaHJvb20gdGh5bWUgcmlzb3R0bw%3D%3D,680 views
1290,mushroom-thyme-risotto,Cooking Mushroom & Thyme Risotto | EveryPlate Meal,https://www.youtube.com/watch?v=WmnDy55PD_E&pp=ygUiaG93IHRvIG1ha2UgbXVzaHJvb20gdGh5bWUgcmlzb3R0bw%3D%3D,121 views
1291,lemony-mushroom-pilaf,Mushroom Rice Pilaf | Sokos Shilaplavi,https://www.youtube.com/watch?v=KbHoJw3ukmY&pp=ygUhaG93IHRvIG1ha2UgbGVtb255IG11c2hyb29tIHBpbGFm,913 views
1291,lemony-mushroom-pilaf,Lemon & Herb Pilaf Roasted Mushrooms,https://www.youtube.com/watch?v=z4V_e7gX5JU&pp=ygUhaG93IHRvIG1ha2UgbGVtb255IG11c2hyb29tIHBpbGFm,258 views
1291,lemony-mushroom-pilaf,Easy and Delicious Greek Lemon Rice,https://www.youtube.com/watch?v=vy_RdOxc1So&pp=ygUhaG93IHRvIG1ha2UgbGVtb255IG11c2hyb29tIHBpbGFm,84K views
