Recipe_ID,Recipe_Name,Image URL
55,jerk-beefburger-pineapple-relish-chips,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-901699_10-4aaee3a.jpg?quality=90&resize=440,400"
56,spiced-glazed-pineapple-cinnamon-fromage-frais,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-229598_12-6f8e126.jpg?quality=90&resize=440,400"
57,tropical-breakfast-smoothie,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-484466_11-fac2879.jpg?quality=90&resize=440,400"
58,jerk-chicken-kebabs-mango-salsa,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-684518_11-ccdef89.jpg?quality=90&resize=440,400"
59,reggae-reggae-nachos,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-47753_11-d83df2a.jpg?quality=90&resize=440,400"
60,simple-coconut-bean-soup,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-47743_10-1c4be35.jpg?quality=90&resize=440,400"
61,natalies-trinidadian-fish-stew,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1992_11-96ab6e9.jpg?quality=90&resize=440,400"
62,hot-spicy-sweet-potatoes,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1201703_11-18da70e.jpg?quality=90&resize=440,400"
63,barbecued-plantains,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1662_12-7b44e5b.jpg?quality=90&resize=440,400"
64,jerk-pork-rice-beans,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-421_11-29de4f2.jpg?quality=90&resize=440,400"
65,sizzling-spare-ribs-bbq-sauce,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-963455_10-8e7562c.jpg?quality=90&resize=440,400"
66,exotic-avocado-salad,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-381451_12-794c668.jpg?quality=90&resize=440,400"
67,jerk-pulled-pork-banana-salsa,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/pulled-pork-e3fc914.jpg?quality=90&resize=440,400"
68,spicy-jerk-prawn-mango-tacos-coconut-dressing,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/tacos-a15b9e0.jpg?quality=90&resize=440,400"
69,sticky-jerk-brown-sugar-ribs-pineapple-rice,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1309523_2-bb95d07.jpg?quality=90&resize=440,400"
70,jerk-spice-mix,"https://images.immediate.co.uk/production/volatile/sites/30/2013/06/jerk-seasoning-73dc876.jpg?quality=90&resize=556,505"
71,jerk-chicken,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/jerk-chicken-f51736a.jpg?quality=90&resize=440,400"
74,jerk-chicken-burger,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/jerk_0-96b26cb.jpg?quality=90&resize=440,400"
75,jerk-chicken-pineapple-traybake,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/jerk-chicken-pineapple-traybake-97c5d95.jpg?quality=90&resize=440,400"
76,jerk-chicken-mango-bowl,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/jerk-chicken-mango-bowl-54ca407.jpg?quality=90&resize=440,400"
77,one-pan-jerk-roast-chicken,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/one-pan-jerk-roast-chicken-68023cd.jpg?quality=90&resize=440,400"
78,jerk-pork-pineapple-skewers-black-beans-rice,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1011488_11-84671e7.jpg?quality=90&resize=440,400"
